,Category,top10,top10_scores
34,visualization,"['jinwei ye', 'monson hayes', 'yotam gingold', 'siddhartha sikdar', 'vasiliki ikonomidou', 'parag chitnis', 'qi wei', 'emanuela marasco', 'craig lorie', 'filipe veiga']","[0.18073774621347105, 0.15528305941368112, 0.12987296273196014, 0.1210167571877097, 0.120772613139443, 0.10749986488361203, 0.09137165082067121, 0.08991858212761207, 0.07667349108494388, 0.07559289460184544]"
35,nanomaterials devices,"['janis terpenny', 'ray hong', 'robert pettit', 'vivian genaro motti', 'george hazelrigg', 'parth pathak', 'gino manzo', 'edward huang', 'thomas latoza', 'weiwen jiang']","[0.33554992458831395, 0.24465675555330618, 0.23471812483852303, 0.2184228919602361, 0.21668477238291867, 0.2135902312396229, 0.20916500663351886, 0.20536484607122735, 0.20384335491771105, 0.20020521434524632]"
36,sensors small integrated systems,"['jim chen', 'janis terpenny', 'ray hong', 'giuseppe ateniese', 'thomas latoza', 'george hazelrigg', 'jeffrey moran', 'qiliang li', 'daniel barbara', 'aditya johri']","[0.15912026666181772, 0.13885175176475814, 0.1386115025842793, 0.12812663952860134, 0.12499918363537377, 0.123291839529773, 0.11967817362999236, 0.11611032667806837, 0.11574883895124112, 0.11192064912603225]"
37,transmission,"['bernd peter paris', 'mingkui wei', 'yue wang', 'tolga soyata', 'kai zeng', 'lei yang', 'martha bushong', 'parth pathak', 'hakan aydin', 'yariv ephraim']","[0.15437793021838594, 0.09561413880018357, 0.09243728043888047, 0.08612846132193647, 0.08214665289341166, 0.0729066106621748, 0.07260721190814458, 0.07208124466966297, 0.07155328898438801, 0.06819702163862515]"
38,spectrum analysis,"['jim chen', 'daniel barbara', 'vasiliki ikonomidou', 'burak tanyu', 'pramita bagchi', 'carlotta domeniconi', 'john shortle', 'amarda shehu', 'parag chitnis', 'yotam gingold']","[0.1807678801639594, 0.17479518834348176, 0.16303470985299212, 0.15861613307934397, 0.1555641982510955, 0.15158438976929345, 0.14794654698961643, 0.14442638616381354, 0.1444057785596846, 0.14045208050908684]"
39,signal processing,"['yariv ephraim', 'vasiliki ikonomidou', 'monson hayes', 'rajesh ganesan', 'jeffrey moran', 'qiliang li', 'kim blackwell', 'jan allbeck', 'dimitrios ioannou', 'jim chen']","[0.13668218608593033, 0.1118672130702225, 0.1108293224458663, 0.10612002234703762, 0.10309597871850226, 0.10035214244050825, 0.09938021919846905, 0.09705511542548367, 0.0953903019424237, 0.09370806557595845]"
40,accessible ubiquitous computing,"['ariela sofer', 'shahnaz kamberi', 'george hazelrigg', 'andrzej manitius', 'shvetha soundararajan', 'aditya johri', 'jim chen', 'craig lorie', 'laura kosoglu', 'hamza mughal']","[0.1642933406913619, 0.1635649477245829, 0.15553523546937878, 0.14239294295279345, 0.14161976288736244, 0.14148899761016742, 0.1344297580693118, 0.13062639096240655, 0.12320354515909546, 0.12297746456210362]"
41,collaborative social computing,"['aditya johri', 'jim chen', 'andrzej manitius', 'joy hughes', 'shahnaz kamberi', 'pelin kurtay', 'myeong lee', 'hans hoyer', 'george hazelrigg', 'sharon adamus']","[0.1616123526629109, 0.14402962334334868, 0.14399360565042862, 0.14043264950177325, 0.13312161645128895, 0.13105951658213078, 0.12889183761762107, 0.12760874905367248, 0.12572829585809048, 0.12230532340215276]"
42,online communities,"['john otten', 'joy hughes', 'sanjeev setia', 'yutao zhong', 'hamza mughal', 'giuseppe ateniese', 'shahnaz kamberi', 'bijan jabbari', 'myeong lee', 'katherine russell']","[0.20435597284239976, 0.19665427190895426, 0.15527341590496227, 0.15512630699850571, 0.14272480642961252, 0.13345762316122028, 0.13100923125024638, 0.12651813443166926, 0.12629745155446795, 0.12196585434050791]"
43,world wide web,"['bijan jabbari', 'songqing chen', 'mahdi hashemi', 'brian mark', 'jianli pan', 'sadegh torabi', 'daniel menasce', 'jim chen', 'duminda wijesekera', 'elise miller hooks']","[0.17815258132857886, 0.16712446385126206, 0.16054021665638002, 0.15986670679711423, 0.15924087820242194, 0.15591050213476795, 0.15171277999762725, 0.15015935125420632, 0.14944747762511115, 0.1466372842281839]"
44,human computer interaction,"['jan allbeck', 'gheorghe tecuci', 'mihai boicu', 'ningshi yao', 'antonios anastasopoulos', 'sadegh torabi', 'ray hong', 'ebrima ceesay', 'mahdi hashemi', 'yariv ephraim']","[0.10529371716716193, 0.09861168093576524, 0.09434337905738639, 0.0827434261163785, 0.07848816867963203, 0.0725749359574136, 0.07105780818094712, 0.07058110427634162, 0.06923043963706191, 0.06812493722567473]"
45,software analysis,"['jim chen', 'daniel barbara', 'burak tanyu', 'vasiliki ikonomidou', 'shahnaz kamberi', 'john shortle', 'pramita bagchi', 'amarda shehu', 'ariela sofer', 'william rosenberger']","[0.17815004476959012, 0.1662063200515977, 0.16356591599937287, 0.1579416662797709, 0.15641506692980198, 0.15379040786997528, 0.15337083694019527, 0.15164800192885694, 0.15025001028716556, 0.1484959702718862]"
46,architecture,"['janis terpenny', 'shahnaz kamberi', 'grigory yaroslavtsev', 'hamza mughal', 'john otten', 'craig lorie', 'katherine russell', 'yutao zhong', 'joy hughes', 'aditya johri']","[0.24166598742287337, 0.2070822836944275, 0.16666666666666669, 0.1649915822768611, 0.1590990257669732, 0.13144027043133238, 0.12712572465112587, 0.12524485821702988, 0.1247505549672234, 0.1246593876903066]"
47,construction,"['giuseppe ateniese', 'yotam gingold', 'jim chen', 'karla hoffman', 'alexander brodsky', 'cameron nowzari', 'amarda shehu', 'carlotta domeniconi', 'daniel barbara', 'samuel gordon']","[0.1281849882410026, 0.1280175876668303, 0.11952927465705047, 0.11944442228884085, 0.1143668185413698, 0.11101695808287389, 0.1087568560391535, 0.10861448997060748, 0.10808492981262786, 0.10726297128584925]"
48,software resilience,"['hamza mughal', 'shahnaz kamberi', 'binqian yin', 'john otten', 'tamara maddox', 'yutao zhong', 'joy hughes', 'harry wechsler', 'ali beheshti', 'martin slawski']","[0.17895849739771977, 0.17097352126912052, 0.15534712747612348, 0.15339299776947407, 0.14815221273648993, 0.13584712216226488, 0.12916047614672618, 0.1225833092117451, 0.12061750761376808, 0.1140754993701554]"
49,software testing,"['jeff offutt', 'paul ammann', 'burak tanyu', 'pramita bagchi', 'hadi el amine', 'kuo tian', 'mehdi amiri darehbidi', 'jim chen', 'niloofar ramezani', 'aditya johri']","[0.40337005122461245, 0.3791402100408843, 0.24445982265883504, 0.20832092905172891, 0.17672825668898784, 0.15065257395248421, 0.14413475860409142, 0.14358776622812397, 0.14257745623703486, 0.13800112585386975]"
50,computational geometry,"['tamara maddox', 'john otten', 'shahnaz kamberi', 'hamza mughal', 'yutao zhong', 'yotam gingold', 'samuel gordon', 'bernard schmidt', 'joy hughes', 'jinwei ye']","[0.16289259247507362, 0.15811388300841894, 0.14283136280174846, 0.14054567378526128, 0.14002800840280097, 0.12954330565109964, 0.12578726920807504, 0.12320354515909547, 0.11834273017956054, 0.1175445356548201]"
51,combinatorial algorithms,"['syed abbas zaidi', 'daniel barbara', 'sherif hashem', 'paul ammann', 'colleen berg', 'thanhvu nguyen', 'carlotta domeniconi', 'pelin kurtay', 'gheorghe tecuci', 'alexander levis']","[0.10394720905919715, 0.08609053752065268, 0.08149357375179246, 0.08119362690852602, 0.07352146220938077, 0.06935794076967486, 0.06902254762872545, 0.06085806194501846, 0.05901213237142912, 0.058635531278813165]"
52,theory security,"['tokunbo fadahunsi', 'daniel barbara', 'massimiliano albanese', 'foteini baldimtsi', 'paul ammann', 'duminda wijesekera', 'md tanvir arafin', 'kun sun', 'giuseppe ateniese', 'alexander levis']","[0.15350153527181162, 0.12732837715194653, 0.12711022473180006, 0.12491460755862094, 0.12432743900671234, 0.11909491010599377, 0.11251311722299646, 0.1116586929387945, 0.10711005260461998, 0.1067554729925003]"
