,Category,top10,top10_scores
273,color,"['yotam gingold', 'jinwei ye', 'monson hayes', 'burak tanyu', 'jim chen', 'parag chitnis', 'thanhvu nguyen', 'alexander levis', 'parth pathak', 'daniel barbara']","[0.20081746705166184, 0.18864652502354312, 0.13122838485673252, 0.11220474299102018, 0.11216278122692619, 0.10755694085157734, 0.09534407880199279, 0.09324069198656214, 0.0914644299225636, 0.08999430410687966]"
274,networked systems,"['janis terpenny', 'jim chen', 'giuseppe ateniese', 'ray hong', 'amarda shehu', 'thomas latoza', 'george hazelrigg', 'hadi el amine', 'jan allbeck', 'katherine russell']","[0.169248029191669, 0.15666076841752385, 0.14326364923579024, 0.1388094873258971, 0.13317796985697355, 0.12953908636569694, 0.12459295590614315, 0.12326420375332263, 0.11839585939431817, 0.11796697387032733]"
275,wireless networking,"['bernd peter paris', 'yue wang', 'lei yang', 'kai zeng', 'vijay shah', 'duminda wijesekera', 'bijan jabbari', 'xiaonan guo', 'bo han', 'peter pachowicz']","[0.24065504538500546, 0.191098941732893, 0.18833741936914208, 0.17640462094181264, 0.17398995760445635, 0.16759508330454553, 0.15178493055820902, 0.1501671531383571, 0.14615943104442852, 0.14531393175878762]"
276,viscoelastic fluids,"['kenneth ball', 'robert handler', 'colin reagle', 'larry kerschberg', 'ali beheshti', 'juan cebral', 'gene shuman', 'rao v mulpuri', 'martin slawski', 'qiliang li']","[0.18836876583077666, 0.18774539263547707, 0.12925558171560292, 0.12531315598634815, 0.12465688267747725, 0.11919946354551798, 0.11329557443395671, 0.11174809028700092, 0.10967354798151646, 0.08678399213807314]"
277,turbulence,"['kenneth ball', 'robert handler', 'hemant purohit', 'juan cebral', 'liza wilson durant', 'brian hrolenok', 'colin reagle', 'martin slawski', 'larry kerschberg', 'shuochao yao']","[0.16695533945435093, 0.14275931382463009, 0.1405166043158644, 0.1028440561991508, 0.08928342650856497, 0.07273929674533079, 0.07110637023695968, 0.06182216944833071, 0.057124725187095944, 0.05471456356841549]"
278,fluid mechanics,"['kenneth ball', 'robert handler', 'juan cebral', nan, 'jim chen', 'martin slawski', 'jinwei ye', 'colin reagle', 'kevin lybarger', 'abolfazl safikhani']","[0.18405497730030082, 0.16736992366728576, 0.13709972428272885, 0.11470786693528086, 0.10676809422713116, 0.09640658653213946, 0.08862607335499499, 0.08796560422311864, 0.08217167606066454, 0.08141517724140014]"
279,air sea gas transport,"['lucas henneman', 'jim chen', 'robert handler', 'qiliang li', 'lance sherry', 'jeffrey moran', 'rajesh ganesan', 'duminda wijesekera', 'karla hoffman', 'mohan venigalla']","[0.20774223480991258, 0.15985982096946974, 0.1464259951468811, 0.1399445620310677, 0.13431491401976942, 0.1259193091539071, 0.1245734441999106, 0.12342419250039371, 0.121477796305585, 0.11902059731119016]"
280,cyber policy,"['hemant purohit', 'jan allbeck', 'khondkar islam', 'craig lorie', 'niloofar ramezani', 'myeong lee', 'kenneth strazzeri', 'aditya johri', 'syed abbas zaidi', 'alexander levis']","[0.14906799602844706, 0.13968490033260386, 0.09398865161301002, 0.09236680685144283, 0.08280278375320571, 0.08017561770963283, 0.07856742013183862, 0.07850643093992156, 0.07521329067973123, 0.07116666452762224]"
281,information technology,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'riki morikawa', 'peter pachowicz', 'brittany johnson matthews', 'janis terpenny', 'binqian yin', 'thomas latoza', 'edward huang']","[0.27047613348043464, 0.2442238210824526, 0.2284036750506033, 0.18457011775157356, 0.17755986207155272, 0.1741052471681064, 0.16595174761174256, 0.1634996425534681, 0.16123874778891628, 0.15609467795818022]"
282,urban computing,"['bo liu', 'shahnaz kamberi', 'andrzej manitius', 'jonathan l auerbach', 'shvetha soundararajan', 'ariela sofer', 'george hazelrigg', 'mahdi hashemi', 'aditya johri', 'craig lorie']","[0.18924452981127898, 0.16586867938267563, 0.1566322372480728, 0.1519428729922005, 0.14870075103173058, 0.14375667310494167, 0.13993295479533452, 0.1361831694517749, 0.1335344726249068, 0.13062639096240655]"
283,intelligent transportation,"['sharon adamus', 'ebrima ceesay', 'lance sherry', 'elise miller hooks', 'thanhvu nguyen', 'rajesh ganesan', 'john shortle', 'karla hoffman', 'john mclaughlin', 'jim chen']","[0.13044848302180087, 0.12663012410144067, 0.10611094955614371, 0.10027693909493322, 0.09733268842720945, 0.08756000319853768, 0.08468176154553518, 0.08455786008091624, 0.08418715356003376, 0.08356666689371381]"
284,spatial temporal data,"['jessica lin', 'syed abbas zaidi', 'hadi el amine', 'myeong lee', 'leonard adelman', 'elise miller hooks', 'mohan venigalla', 'rajesh ganesan', 'holger dannenberg', 'jan allbeck']","[0.18463950631659326, 0.16125907079836976, 0.14323731859795324, 0.14323607238287958, 0.1367203795177082, 0.12230499045494048, 0.12082312679701383, 0.11853170012487291, 0.11344015889691833, 0.11176950769460287]"
285,online social media,"['joy hughes', 'john otten', 'myeong lee', 'katherine russell', 'vijay shah', 'sadegh torabi', 'xiaonan guo', 'brian mark', 'sanjeev setia', 'jim chen']","[0.18945939975436643, 0.17416247818442251, 0.15756418200728903, 0.14313800944715255, 0.1351669147564157, 0.134174116062868, 0.1336787522428828, 0.13277591456186846, 0.1315036812172259, 0.13107756442403662]"
286,high dimensional search,"['jim chen', 'daniel barbara', 'parag chitnis', 'lucas henneman', 'siddhartha sikdar', 'parth pathak', 'qiliang li', 'vasiliki ikonomidou', 'rajesh ganesan', 'mohan venigalla']","[0.21280959933971913, 0.17968931875606878, 0.1725272992595205, 0.16718035541310347, 0.16509404522209437, 0.16489956737739142, 0.16465344045009656, 0.16432631873155795, 0.16362342384652886, 0.16311106721244706]"
287,computer science computational biology,"['gheorghe tecuci', 'mihai boicu', 'binqian yin', 'hadi el amine', 'shahnaz kamberi', 'jiayang sun', 'edward huang', 'sanmay das', 'alexander brodsky', 'grigory yaroslavtsev']","[0.18523015028959644, 0.16224435803521634, 0.1416576493949657, 0.13056549932070416, 0.12839401340330855, 0.12592169410752263, 0.11407229299099358, 0.11318032704184894, 0.11031613740545368, 0.1098967455659645]"
288,reversible computing,"['jim chen', 'shahnaz kamberi', 'ariela sofer', 'aditya johri', 'george hazelrigg', 'monson hayes', 'jonathan l auerbach', 'burak tanyu', 'thanhvu nguyen', 'edward huang']","[0.16021000431389062, 0.15799007510215266, 0.15648956349816398, 0.14702007817326201, 0.1396951597102849, 0.12697017378533687, 0.12642707557547664, 0.12563405029891817, 0.1230513089435111, 0.12274465308652512]"
289,signal,"['yariv ephraim', 'jan allbeck', 'kim blackwell', 'jeffrey moran', 'monson hayes', 'vasiliki ikonomidou', 'parth pathak', 'yue wang', 'dimitrios ioannou', 'linghan zhang']","[0.1336732943643865, 0.11180368115899375, 0.11024591099113909, 0.09980681664908357, 0.09262347591362999, 0.08629404551844672, 0.08214013902246764, 0.08191874226060186, 0.07818575162045387, 0.07782843152728917]"
290,video processing,"['yotam gingold', 'vasiliki ikonomidou', 'monson hayes', 'thanhvu nguyen', 'rajesh ganesan', 'daniel barbara', 'jim chen', 'jinwei ye', 'jiayang sun', 'shahnaz kamberi']","[0.13401662611527831, 0.12136969627127325, 0.12133230872713978, 0.11859160972227036, 0.11452168103877468, 0.11254987890339405, 0.11173718222490381, 0.11106710540941901, 0.10839444257575129, 0.1062963010567789]"
291,image,"['antonios anastasopoulos', 'michael hieb', 'marcos zampieri', 'harry foxwell', 'alexander levis', 'yotam gingold', 'parth pathak', 'jan allbeck', 'janis terpenny', 'daniel barbara']","[0.1307073159826258, 0.11727507628684541, 0.11176777959981739, 0.09803637831024908, 0.0959249760185253, 0.09495740202884316, 0.09158352015384055, 0.09078933923140417, 0.09043974733811189, 0.0886077739612858]"
292,decision theory,"['jan allbeck', 'ali k raz', 'gheorghe tecuci', 'mihai boicu', 'alexander levis', 'syed abbas zaidi', 'duminda wijesekera', '̦zlem uzuner', 'george hazelrigg', 'daniel barbara']","[0.1379409098478383, 0.13588906743857246, 0.13474568148962834, 0.11824775551201105, 0.1102176695006512, 0.10942881576813815, 0.10773920663551396, 0.10706502791666327, 0.10492757845842161, 0.10469074713287435]"
293,air pollution modeling policy analysis,"['lucas henneman', 'alexander levis', 'jim chen', 'qi wei', 'mohan venigalla', 'john shortle', 'abolfazl safikhani', 'vadim sokolov', 'jan allbeck', 'tianshu feng']","[0.2501820499640838, 0.23630567763764396, 0.22221322181462766, 0.2130180692343625, 0.21236721269340816, 0.2093571081004454, 0.20840278670247933, 0.20293352444077678, 0.2023187102479424, 0.2022535866406537]"
294,tissue engineering,"['gheorghe tecuci', 'janis terpenny', 'mihai boicu', 'edward huang', 'amarda shehu', 'george hazelrigg', 'aditya johri', 'thomas latoza', 'peter pachowicz', 'remi veneziano']","[0.185039481055341, 0.17037843082883133, 0.16832707681067022, 0.12558582940295857, 0.12412126430786029, 0.12245224100006956, 0.12180021301913758, 0.11746271842963324, 0.11458731212852641, 0.11402127610208428]"
295,blood coagulation,"['hadi el amine', 'anand vidyashankar', 'rajesh ganesan', 'jim chen', 'giuseppe ateniese', 'caroline hoemann', 'myeong lee', 'alexander brodsky', 'juan cebral', 'jinwei ye']","[0.12294604428906898, 0.08576731096817045, 0.08175557514489078, 0.08058549931574734, 0.0775747912751869, 0.07306119475644578, 0.07248493824239684, 0.07056438776121829, 0.06827372712337151, 0.06327514441815593]"
296,articular cartilage,"['caroline hoemann', 'siddhartha sikdar', 'vasiliki ikonomidou', 'qi wei', 'omoche agada', 'pelin kurtay', 'parth pathak', 'parag chitnis', 'bo liu', 'christopher a carr']","[0.13648048334688057, 0.06740000608618815, 0.06344795779319909, 0.054210423886375605, 0.042967950128002336, 0.04103049699311091, 0.03900056396109617, 0.03771129450112434, 0.03603749850782236, 0.03565747911603346]"
297,biomaterials,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
298,bone,"['caroline hoemann', 'vasiliki ikonomidou', 'diana wang', 'brittany johnson matthews', 'jim chen', 'aditya johri', 'siddhartha sikdar', 'george hazelrigg', 'pramita bagchi', 'qi wei']","[0.21416626577223846, 0.08161257490559129, 0.07676551853201165, 0.06657494699028203, 0.0638011667587734, 0.063277397655707, 0.060635182478645244, 0.05802312976823221, 0.05762076104687676, 0.05679688890579607]"
299,military operations research,"['rajesh ganesan', 'jim chen', 'daniel menasce', 'daniel barbara', 'cameron nowzari', 'alexander brodsky', 'aditya johri', 'sadegh torabi', 'joy hughes', 'michael hieb']","[0.1658879459536834, 0.15919265681176636, 0.1372863169317463, 0.13545502340079127, 0.13514569028882156, 0.13485378417816143, 0.13383218496739482, 0.13277646961990464, 0.1326756890020043, 0.13195340606575431]"
300,auction design testing,"['jeff offutt', 'paul ammann', 'burak tanyu', 'aditya johri', 'janis terpenny', 'thomas latoza', 'pramita bagchi', 'karla hoffman', 'george hazelrigg', 'jim chen']","[0.26052481353766815, 0.24954471934008302, 0.18817432479202165, 0.16768039493853837, 0.16572606662065562, 0.16144322750194828, 0.13860925054019935, 0.13428127195733164, 0.1338860504239179, 0.13327378192018358]"
301,computational statistics,"['jonathan l auerbach', 'daniel barbara', 'tianshu feng', 'nicholas rios', 'carlotta domeniconi', 'mohan venigalla', 'tolga soyata', 'vadim sokolov', 'evgenios kornaropoulos', 'john shortle']","[0.2949001018243311, 0.23467199002006878, 0.22891038125540697, 0.2179900991915077, 0.21461616694146748, 0.20553232886658387, 0.2006075722232095, 0.19930352489714942, 0.19746987161615162, 0.19127481130149915]"
302,distance education,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'khondkar islam', 'jessica lin', 'rochelle jones', 'michael eagle', 'jim chen', 'rajesh ganesan', 'bo liu']","[0.2243156486611153, 0.20048384695691523, 0.1997861712204075, 0.18091524247321755, 0.16809127966691662, 0.16009192161686342, 0.1576483420220787, 0.1497249353422912, 0.14896334862752897, 0.14793158385348465]"
303,resource allocation,"['karla hoffman', 'hamza mughal', 'shahnaz kamberi', 'edward huang', 'john otten', 'jiayang sun', 'daniel barbara', 'giuseppe ateniese', 'katherine russell', 'elise miller hooks']","[0.14763526588668419, 0.13169727955327862, 0.12952167819343766, 0.1276032761315945, 0.12346619958119871, 0.1178698379412671, 0.1157655733060137, 0.11500810202893329, 0.11415658817315291, 0.11366328349733831]"
304,computing networking theory,"['george hazelrigg', 'andrzej manitius', 'aditya johri', 'shahnaz kamberi', 'ariela sofer', 'jim chen', 'ali k raz', 'edward huang', 'gheorghe tecuci', 'yutao zhong']","[0.18016462298652702, 0.16408393326124673, 0.16291227041587347, 0.1610495870828364, 0.15966025512528575, 0.1560572944693831, 0.1512105993780508, 0.1487428763997244, 0.14376675102402858, 0.1434299943928958]"
305,cognitive networks,"['ali k raz', 'matthew amissah', 'duminda wijesekera', 'daniel menasce', 'bernd peter paris', 'alexander levis', 'robert pettit', 'jiayang sun', 'john otten', 'hakan aydin']","[0.2686695621971785, 0.21850711221876895, 0.18586070423831055, 0.17697552089124302, 0.1657845868207815, 0.15956989867403032, 0.15800092837496013, 0.15580605647441023, 0.15504341823651058, 0.15465164617947194]"
306,wireless communications  networks,"['bernd peter paris', 'myeong lee', 'ali k raz', 'duminda wijesekera', 'daniel barbara', 'xiaonan guo', 'yue wang', 'joy hughes', 'kai zeng', 'massimiliano albanese']","[0.2692824605169649, 0.2677520364153394, 0.2617213193275716, 0.24442294929467312, 0.21766552419621824, 0.21673562750447944, 0.2124096871323635, 0.20554176994242435, 0.20260443290261756, 0.18927007136790946]"
307,distributionally robust optimization,"['f berlin', 'sam salem', 'eugene kim', 'kenneth strazzeri', 'foteini baldimtsi', '̦zlem uzuner', 'gurdip singh', 'charles white', 'giuseppe ateniese', 'hemant purohit']","[0.07290148043997553, 0.06621981106790575, 0.05542211042101087, 0.048492864496887195, 0.048205012866220746, 0.043463934316070464, 0.042082731807843256, 0.03984095364447979, 0.03816049652074595, 0.03558333909466692]"
308,chance constrained programming,"['thanhvu nguyen', 'elise miller hooks', 'sharon adamus', 'yutao zhong', 'shahnaz kamberi', 'bernard schmidt', 'ran ji', 'gurdip singh', 'paul ammann', 'hamza mughal']","[0.24512224372719513, 0.1789034702950848, 0.16667516985111475, 0.16568337391590282, 0.15537128728466928, 0.14369388053660814, 0.14183123540696496, 0.14125429019406469, 0.14017453493831242, 0.1336306209562122]"
309,relief op,"['abolfazl safikhani', 'jessica lin', 'yotam gingold', 'robert handler', 'jim chen', 'ali beheshti', 'rajesh ganesan', 'elise miller hooks', 'jeffrey moran', 'jonathan l auerbach']","[0.09759251813424016, 0.09459882172861615, 0.09369530013614182, 0.08076149405669172, 0.07991696964688211, 0.07576965120002775, 0.07407776608202633, 0.0728637048211673, 0.07061214350209814, 0.06806192479408868]"
310,fpga,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
311,hw sw co design,"['janis terpenny', 'thomas latoza', 'george hazelrigg', 'aditya johri', 'yotam gingold', 'ray hong', 'edward huang', 'gino manzo', 'alexander levis', 'jan allbeck']","[0.1984073643838503, 0.14575511703664218, 0.13549839574619316, 0.13230088684165833, 0.1220001560048237, 0.11082511855727083, 0.11013054845320253, 0.10548162696116148, 0.09870286330973689, 0.09751124255151691]"
312,neural networks,"['ali k raz', 'matthew amissah', 'duminda wijesekera', 'daniel menasce', 'john otten', 'alexander levis', 'robert pettit', 'jiayang sun', 'hakan aydin', 'arthur art pyster']","[0.3503916893888403, 0.28661838988431687, 0.22446018492008488, 0.22215403256376756, 0.2033723042049901, 0.20121489075180177, 0.2010252595000811, 0.200966454795637, 0.19568092639941234, 0.1887683346403626]"
313,quantum machine learning,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'ray hong', 'weiwen jiang', 'pouyan ahmadi', 'shuochao yao', 'khondkar islam', 'bo han', 'tolga soyata']","[0.25855236581998897, 0.2214532411962492, 0.1779029682617459, 0.1537753470124468, 0.14000645950930207, 0.13318787402958804, 0.12969283512715513, 0.12956419784447756, 0.12759526628308476, 0.1275710735746517]"
314,ictd,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
315,computing education research,"['gheorghe tecuci', 'aditya johri', 'mihai boicu', 'sharon adamus', 'rochelle jones', 'bo liu', 'craig lorie', 'tamara maddox', 'elizabeth white', 'janis terpenny']","[0.2626029335357473, 0.23246105637587508, 0.23150495603357263, 0.20126912147485335, 0.19861453057473935, 0.1897680288191474, 0.1861861680264926, 0.17633640396464956, 0.175164618081796, 0.17294694988655235]"
316,engineering education research,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'janis terpenny', 'bo liu', 'rochelle jones', 'peter pachowicz', 'michael holland', 'elizabeth white', 'michael eagle']","[0.30830875497264143, 0.2736272280921524, 0.19972707481775298, 0.1900814070272165, 0.16991506369692144, 0.1697288381861507, 0.159331033786751, 0.15775575370823816, 0.15222649416526252, 0.15167208566750118]"
317,side channel,"['jim chen', 'jinwei ye', 'robert handler', 'yotam gingold', 'jeffrey moran', 'kirin emlet furst', 'kenneth ball', 'viviana maggioni', 'monson hayes', 'daniel barbara']","[0.18066493688080432, 0.17006102018340896, 0.16809927909481973, 0.14451977698456153, 0.14450632005349273, 0.1402145751136111, 0.13264546364548363, 0.1307545558856285, 0.12471237648205505, 0.12399361749262086]"
318,adversarial machine learning,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'ray hong', 'pouyan ahmadi', 'khondkar islam', 'tolga soyata', 'shuochao yao', 'michael hieb', 'qiang zeng']","[0.26394415454644365, 0.22742026590093653, 0.18412826008027855, 0.1618979990786779, 0.13672432389905256, 0.13312303632641959, 0.1329767346009249, 0.13293249504786916, 0.1319960405043844, 0.13150803743203743]"
319,hardware support security,"['duminda wijesekera', 'kevin andrea', 'leonard adelman', 'daniel barbara', 'michael hieb', 'foteini baldimtsi', 'ray hong', 'angelos stavrou', 'aditya johri', 'tokunbo fadahunsi']","[0.16144074051393786, 0.15993554018404874, 0.14516482417889545, 0.14482806489840683, 0.14021402660334498, 0.13872029309099865, 0.13813721324402511, 0.13654993307062394, 0.1348773702878727, 0.1345178824917818]"
320,malware detection,"['robert pettit', 'ali k raz', 'wassim masri', 'janis terpenny', 'linghan zhang', 'daniel menasce', 'lisa luo', 'duminda wijesekera', 'edward huang', 'george hazelrigg']","[0.23628666436719953, 0.17544384650533865, 0.15839607940848868, 0.15641251593634348, 0.15045594306458804, 0.14563341037476296, 0.14013128220448184, 0.1395741820880451, 0.13829724713811203, 0.13798252118800922]"
321,covert channel,"['kirin emlet furst', 'jim chen', 'robert handler', 'kenneth ball', 'yariv ephraim', 'vadim sokolov', 'viviana maggioni', 'qiliang li', 'brian mark', 'jeffrey moran']","[0.13288958358486674, 0.12917248450187527, 0.12067178400259157, 0.11332139233308587, 0.0987841274030015, 0.09563441631028881, 0.09537968071232816, 0.09411550387229012, 0.09387451830086238, 0.093362203895031]"
322,synthetic biology,"['mehdi amiri darehbidi', 'jim chen', 'qiliang li', 'rajesh ganesan', 'ali beheshti', 'george hazelrigg', '̦zlem uzuner', 'kenneth ball', 'mahdi hashemi', 'remi veneziano']","[0.11040193271157109, 0.10859427891515994, 0.09189334148948558, 0.09159192592052763, 0.09001059585528379, 0.08398849889066066, 0.08319363169011958, 0.08244384980344363, 0.08202143145462049, 0.08200500249947903]"
323,chemical engineering,"['gheorghe tecuci', 'mihai boicu', 'janis terpenny', 'aditya johri', 'jim chen', 'burak tanyu', 'jiayang sun', 'karla hoffman', 'edward huang', 'remi veneziano']","[0.2002446003618969, 0.19166187765768494, 0.18847639391104404, 0.18563710220334426, 0.18278284841977682, 0.17905017681628874, 0.17516155155486487, 0.1729207007795507, 0.16974445182648906, 0.1697118446783505]"
324,bioadhesion,"['martin slawski', 'kuo tian', 'celso moller ferreira', 'siddhartha sikdar', 'lance sherry', 'vivian genaro motti', 'weiwen jiang', 'john shortle', 'lei yang', 'ziwei zhu']","[0.05397405462930527, 0.03193110314562001, 0.030077218603337275, 0.01323595249671058, 0.011963072544460844, 0.01014438805067058, 0.009763204461546894, 0.0069367916705087955, 0.006669001225715022, 0.006020492509677387]"
325,bio inspired materials,"['myeong lee', 'daniel barbara', 'hemant purohit', 'diana wang', 'lisa luo', 'lucas henneman', 'carlotta domeniconi', 'shuochao yao', 'tolga soyata', 'ioulia rytikova']","[0.1360237733236787, 0.10468600069842587, 0.09590437944610308, 0.09459675396808044, 0.09176847882931241, 0.0916325243310996, 0.08950434775133013, 0.08905813086136527, 0.08827777947094906, 0.08707154319342925]"
326,bioengineering,"['shahnaz kamberi', 'aditya johri', 'laura kosoglu', 'riki morikawa', 'george hazelrigg', 'colleen berg', 'sharon adamus', 'john mclaughlin', 'binqian yin', 'hans hoyer']","[0.29527334063278954, 0.27643225241166486, 0.23473427987697598, 0.22561089736160853, 0.19676808381390487, 0.18983159915049982, 0.18976802881914745, 0.18658444088846718, 0.18490006540840973, 0.1835970184086314]"
327,computer security,"['mohamed gebril', 'tokunbo fadahunsi', 'md tanvir arafin', 'ran ji', 'paul ammann', 'qiliang li', 'kun sun', 'foteini baldimtsi', 'sanmay das', 'ebrima ceesay']","[0.13894113510026065, 0.12370365186017587, 0.11602231561710401, 0.10287299320382709, 0.09653607740653296, 0.09642427079052462, 0.09318452030392457, 0.09271645575751698, 0.09162860310628254, 0.09036268387128844]"
328,algorithms,"['syed abbas zaidi', 'gheorghe tecuci', 'daniel barbara', 'mihai boicu', 'paul ammann', 'thanhvu nguyen', 'sanmay das', 'samuel gordon', 'alexander levis', 'carlotta domeniconi']","[0.10775687824366248, 0.0750554725135348, 0.07239369242111349, 0.0687284720299985, 0.0679696652585605, 0.06396757822615977, 0.05450124089383735, 0.053492122516994124, 0.051997338437714015, 0.04935991328664737]"
329,computer model calibration,"['abolfazl safikhani', 'ben seiyon lee', 'alexander levis', 'vadim sokolov', 'qi wei', 'tianshu feng', 'edward huang', 'ran ji', 'daniel menasce', 'kim blackwell']","[0.2350961212191628, 0.2274296780771603, 0.21094795186924753, 0.19552988391578868, 0.1841292401407651, 0.1809022842460826, 0.17821217853314184, 0.17352535938687388, 0.17001807447628176, 0.16868928349795745]"
330,sequential monte carlo,"['jessica lin', 'daigo shishika', 'michael eagle', 'rajesh ganesan', 'fei li', 'leonard adelman', 'daniel barbara', 'elise miller hooks', 'john shortle', 'sanmay das']","[0.1257563750421857, 0.08908846160771441, 0.0884297180593919, 0.08313736887871195, 0.07527038609002756, 0.07525913542022838, 0.07000095887386856, 0.06983137509238141, 0.06754555154936197, 0.06580897892822431]"
331,bayesian statistics,"['jonathan l auerbach', 'tianshu feng', 'carlotta domeniconi', 'daniel barbara', 'john shortle', 'mohan venigalla', 'vadim sokolov', 'evgenios kornaropoulos', 'ariela sofer', 'lily wang']","[0.30807727351522024, 0.27242750174728897, 0.25591897275232245, 0.25400981547213625, 0.2344635584631973, 0.22696966967132517, 0.22394502629470037, 0.22375906405164808, 0.21785296975674592, 0.2151234433743571]"
332,spatio temporal statistics,"['jessica lin', 'jonathan l auerbach', 'mohan venigalla', 'nicholas rios', 'carlotta domeniconi', 'syed abbas zaidi', 'daniel barbara', 'leonard adelman', 'john shortle', 'rajesh ganesan']","[0.24328870238142175, 0.21929664668391616, 0.19556467215149667, 0.1901764600551296, 0.17955618507229837, 0.1763701548284149, 0.17245411256480936, 0.1717862019586186, 0.15925875371134174, 0.15661694867694004]"
333,spatial statistics,"['jonathan l auerbach', 'tianshu feng', 'daniel barbara', 'carlotta domeniconi', 'mohan venigalla', 'nicholas rios', 'john shortle', 'vadim sokolov', 'tolga soyata', 'evgenios kornaropoulos']","[0.27530808073425994, 0.22722024359947468, 0.22418395204351527, 0.21906630444889488, 0.19855819312213174, 0.19505396773778713, 0.18996329798039419, 0.187068664770259, 0.18638817231916105, 0.18548065748675488]"
334,community informatics,"['myeong lee', 'katherine russell', 'giuseppe ateniese', 'joy hughes', 'daniel garrison', 'sharon adamus', 'ray hong', 'sadegh torabi', 'mahdi hashemi', 'sanmay das']","[0.1742102247302728, 0.12894578992537273, 0.123892660738179, 0.12338247632729935, 0.11498051245456847, 0.09182000516742599, 0.09128559808536517, 0.08545256422511747, 0.0832952298533987, 0.08290082199403241]"
335,information science,"['gheorghe tecuci', 'mihai boicu', 'aditya johri', 'karla hoffman', 'cameron nowzari', 'hadi el amine', 'michael holland', 'edward huang', 'thomas latoza', 'elise miller hooks']","[0.24432829969529962, 0.21460731371529512, 0.16158487945060224, 0.14271166269155694, 0.13704589999442987, 0.13137836188886942, 0.12964074471043285, 0.12935802589997197, 0.127744866102806, 0.12759149959899405]"
336,socio technical systems,"['janis terpenny', 'jim chen', 'gheorghe tecuci', 'sanmay das', 'thomas latoza', 'aditya johri', 'george hazelrigg', 'daniel barbara', 'ray hong', 'hadi el amine']","[0.17467229139823628, 0.16706263208528885, 0.1572734061012182, 0.15376704420732973, 0.1505558968187262, 0.1467835618538657, 0.14611204569359473, 0.143650225004357, 0.1414223259937269, 0.13850168615088843]"
337,multi formalism modeling,"['abolfazl safikhani', 'ben seiyon lee', 'alexander levis', 'qi wei', 'vadim sokolov', 'tianshu feng', 'edward huang', 'kim blackwell', 'lily wang', 'ran ji']","[0.2824422456239435, 0.2735972782871635, 0.2627170125606063, 0.2333914064841634, 0.22483561380993944, 0.2138185832870445, 0.21100571722574116, 0.19782387247948946, 0.19745083661032486, 0.18748696872112705]"
338,command control,"['duminda wijesekera', 'michael hieb', 'jim chen', 'mingkui wei', 'alexander levis', 'parth pathak', 'cameron nowzari', 'rajesh ganesan', 'ningshi yao', 'siddhartha sikdar']","[0.22903842951537373, 0.20218249542622996, 0.185908728843167, 0.1805261294874981, 0.17808768525146385, 0.1753356425739972, 0.17365850465320426, 0.16383253829431704, 0.16173019274874734, 0.1612360660430624]"
339,system architectures,"['janis terpenny', 'jim chen', 'thomas latoza', 'george hazelrigg', 'ray hong', 'aditya johri', 'edward huang', 'jan allbeck', 'katherine russell', 'ali k raz']","[0.2652553395017841, 0.17378189303315664, 0.17050646890949644, 0.16697584725294679, 0.16009620723182566, 0.15549012194864728, 0.15079601484925548, 0.14662042146044743, 0.14441967645551507, 0.14043333593698698]"
340,algorithms theory computation,"['gheorghe tecuci', 'mihai boicu', 'ariela sofer', 'karla hoffman', 'daniel barbara', 'syed abbas zaidi', 'alexander levis', 'ali k raz', 'elise miller hooks', 'edward huang']","[0.1970127028757025, 0.1661726989409703, 0.15721040762917265, 0.15715782999976524, 0.15328330531293233, 0.15283966671002958, 0.13948189839692013, 0.13837691878225333, 0.13749048280645937, 0.13492626692408347]"
