,Doc_ID,Name,descriptions,titles,date,source,citations,Location,loc
57,57,elizabeth white,elizabeth liz white contributes significantly research teaching excellence computer science department volgenau school engineering george mason university shares extensive knowledge students realms systems software compilers programming languages mobile devices research interests include radio frequency identification rfid software architecture middleware distributed computing interoperability dynamic reconfiguration compilers,,,,,CEC Website,CEC Website elizabeth white
58,58,emanuela marasco,emanuela marasco research interests involve pattern recognition machine learning image processing computer vision biometrics passionate authentication methods based biometric systems widely deployed high level security applications access control computer networks border immigration services main contribution focuses addressing vulnerabilities challenges systems design development 1 anti spoofing countermeasures fingerprint recognition systems 2 algorithms automatic enhancement fingerprint sensor interoperability maintain data independence underlying device 3 image de identification techniques privacy enhancement 4 automatic estimation soft biometrics e g age gender fingerprints 5 adaptive schemes human identification based degraded dna samples pi co pi research projects funded nsf dhs darpa prior appointment george mason university marasco adjunct professor post doctoral researcher pattern recognition biometrics university north carolina charlotte department computer science also post doctoral associate researcher lane department computer science electrical engineering west virginia university center identification technology citer nsf received five year degree bachelor sc computer engineering march 2006 phd computer automation engineering december 2010 university naples federico ii italy,,,,,CEC Website,CEC Website emanuela marasco
60,60,eugene kim,eugene kim primarily focused engineering education scholarship teaching learning specifically areas active learning team based learning research interests developing protein based biomaterials using microbial platforms production strong underwater bioadhesives biocomposites received bs chemical engineering university michigan phd energy environmental chemical engineering washington university st louis,,,,,CEC Website,CEC Website eugene kim
61,61,evgenios kornaropoulos,evgenios kornaropoulos research computer security applied cryptography focusing analyzing designing efficient encrypted systems using techniques cryptography algorithms degrees phd computer science brown university 2019,,,,,CEC Website,CEC Website evgenios kornaropoulos
62,62,f berlin,f brett berlin passion new value creation built 40 years professional experience innovating advocating innovators applying leading edge information solutions mission challenges served outstanding teams various roles including senior strategy executive consultant mentor applied information systems technologist collaborative leader computer scientist public policy entrepreneur teaching focus spans emerging cyber physical challenges opportunities global ict ethics also serves strategy advisor mentor public private sector innovators entrepreneurs public speaker emerging challenges innovation opportunity ethics core interests include public policy high performance computing emerging big data health informatics digital economy governance challenges addition teaching mentoring berlin seeks new capstone engagements high quality core value centered innovation teams collaborating address societal market challenges cyber physical policy innovation specifically sustainable solutions deliver intersection innovative value creation human aspiration strategic vision,,,,,CEC Website,CEC Website f berlin
63,63,fei li,fei li taught george mason university since 2007 areas research interests expertise include design analysis online algorithms approximation algorithms randomized algorithms scheduling algorithms editorial board sustainable computing informatics systems suscom,,,,,CEC Website,CEC Website fei li
64,64,filipe veiga,filipe veiga postdoctoral associate computer science artificial intelligence lab massachusetts institute technology working professor edward adelson development usage gelsight fingertip sensors improving dexterous manipulation skills robots filipe interested exploring perception develop intelligent systems,,,,,CEC Website,CEC Website filipe veiga
65,65,foteini baldimtsi,foteini baldimtsi taught george mason university since 2016 research interests cryptography privacy data security focuses designing provably secure cryptographic schemes variety applications privacy preserving identity management secure electronic payments private scalable blockchain transactions recipient ibm faculty award research supported nsf nsa zcash foundation,,,,,CEC Website,CEC Website foteini baldimtsi
66,66,gene shuman,gene shupan joined information sciences technology department faculty 2017 assistant professor primarily teaches programming algorithms data structures co coordinates administration six different courses areas previously worked u state department many years variety related roles including software development systems analysis programming project management operations management last seven years state director software development support consular global applications covering areas passports visas citizen services phd computer science mason certified project management professional research professional interests include data mining machine learning analytics visualization biomechanical applications software engineering project management longtime northern virginia resident witnessed significant growth mason believes school reputation yet caught reality quality gap quickly closing,,,,,CEC Website,CEC Website gene shuman
67,67,george hazelrigg,george hazelrigg adjunct professor affiliate faculty department mechanical engineering george mason university hazelrigg obtained bs ms degrees mechanical engineering new jersey institute technology njit mse phd degrees aerospace engineering princeton university worked six years aerospace industry curtiss wright general dynamics jet propulsion lab taught engineering njit princeton university university california san diego polytechnic university ajou university korea école de technologie supérieure montreal early 1970 helped form consulting company worked seven years 1982 joined national science foundation next 35 years ran seven research programs four different divisions served deputy division director acting division director division electrical communications systems engineering ecse division civil mechanical manufacturing innovation cmmi oversaw annual research budgets 210 million january 1996 station science leader u south pole station dr hazelrigg area research systems engineering engineering design decision making also offers courses engineering decision making research proposal writing,,,,,CEC Website,CEC Website george hazelrigg
68,68,gheorghe tecuci,gheorghe tecuci director learning agents center since 1995 prior joining george mason university 1990 romanian research institute informatics summers 1986 1990 visiting scientist laboratoire de recherche en informatique de l université de paris sud 1994 1999 also director center advanced research machine learning natural language processing conceptual modeling romanian academy 2000 2011 also visiting professor artificial intelligence u army war college 2001 2003 chair artificial intelligence member romanian academy published around 200 papers including 11 books contributions artificial intelligence machine learning knowledge acquisition knowledge engineering cognitive assistants evidence based reasoning intelligence analysis followed career long interest creation software agents learn complex problem solving expertise directly human experts support experts non experts problem solving decision making teach problem solving expertise students,,,,,CEC Website,CEC Website gheorghe tecuci
69,69,gino manzo,gino manzo retired defense industry career ibm loral lockheed martin bae systems march 2014 coming mason manzo worked adjunct professor virginia tech designed taught first two semester senior design capstones class,,,,,CEC Website,CEC Website gino manzo
70,70,giorgio ascoli,giorgio ascoli dedicated career advancements biochemistry neuroscience since received phd scuola normale superiore pisa italy continued research national institutes health bethesda md ascoli investigates protein structure binding nervous system long term seeks create large scale anatomically plausible neural networks model entire portions mammalian brain hippocampus ascoli interests also involve human memory consciousness ascoli founding editor chief journal neuroinformatics editorial board member several international journals also serves advisory board numerous scientific organizations past president potomac chapter society neuroscience ascoli contributed establishment fields computational neuroanatomy neuroinformatics laboratory investigates relationship brain structure activity function cellular level circuit level,,,,,CEC Website,CEC Website giorgio ascoli
71,71,girum urgessa,girum urgessa tenured associate professor sid reva dewberry department civil environmental infrastructure engineering ceie george mason university received ms 2002 phd 2006 university new mexico bs 2000 addis ababa university coming mason research engineer applied science division weidlinger associates thornton tomasetti structural engineer dekker perich sabatini urgessa research interests include dynamic response structures subjected air blast impact progressive collapse underwater explosions use fiber reinforced polymer composites structural design retrofit applications structural stability temporary structures past 12 years taught ten different structural engineering mechanics courses received university teaching excellence award 2015 played active roles faculty governance mason including serving faculty senate faculty handbook revision committee term faculty task force several academic program review committees also chaired faculty matters senate standing committee outside mason urgessa currently member sub committee retrofit structures dynamic loads committee dynamic effects american society civil engineers voting member american concrete institute committee blast impact load effects transportation research board committee field testing nondestructive evaluation transportation structures dr urgessa licensed professional engineer state maryland,,,,,CEC Website,CEC Website girum urgessa
72,72,giuseppe ateniese,addition professor eminent scholar cyse giuseppe ateniese also cci faculty fellow cs cyse departments farber endowed chair computer science department chair stevens institute technology addition sapienza university rome assistant associate professor john hopkins university one jhu information security institute founders degrees phd computer science university genoa 2000,,,,,CEC Website,CEC Website giuseppe ateniese
73,73,grigory yaroslavtsev,grigory yaroslavtsev previously assistant professor indiana university bloomington works foundational questions scalable algorithms machine learning data science private data release work supported nsf crii award facebook faculty research award degrees phd computer science pennsylvania state university 2014,,,,,CEC Website,CEC Website grigory yaroslavtsev
74,74,gurdip singh,division director oversees 27 program officers 12 administrative staff budget 240 million sanjeev setia leading school computing interim divisional dean continue acting divisional dean time singh earned ms phd computer science suny stony brook 1989 1991 respectively b tech computer science engineering indian institute technology delhi 1986 singh accomplished researcher educator whose experience aligns well plans growth development academic multidisciplinary research programs school computing completion fuse building mason square broadening participation tech talent investment program ttip advancing inclusive excellence throughout school strong advocate multidisciplinary teaching research building academic industry partnerships instrumental starting several multidisciplinary programs academic industry partnerships nsf also involved significant curriculum development k 12 outreach diversity initiatives research teaching interests include real time embedded systems sensor networks network protocols distributed computing research funded nsf aro national institutes health darpa several industrial organizations received nsf research initiation award 1992 nsf career award 1995,,,,,CEC Website,CEC Website gurdip singh
75,75,hadi el amine,hadi el amine assistant professor systems engineering operations research department george mason university research interest lies application operations research problems related healthcare public policy particular hadi utilizes stochastic robust optimization probability theory solve problems resources scarce uncertainty high impact hadi collaborated american red cross research related safety blood banks united states work involved developing blood screening strategies minimize risk releasing infected units blood pool taking account budget considerations uncertainty donor characteristics recipient 2015 informs bonder scholarship applied operations research health services finalist 2015 informs pierskalla award 2014 informs washington dc chapter student excellence competition work blood screening limited resources hadi received phd operations research virginia tech master bachelor degrees american university beirut lebanon,,,,,CEC Website,CEC Website hadi el amine
76,76,hadi rezazad,hadi rezazad graduate george mason university taught mason several years adjunct professor joining department information sciences technology full time associate professor also taught adjunct professor american university past prior full time employment mason dr rezazad spent thirty years information technology industry chief executive officer solutions provider company time dr rezazad earned phd information technology george mason university addition received engineer degree mason received master degree computer science american university also bachelor degree computer science statistics applied mathematics american university,,,,,CEC Website,CEC Website hadi rezazad
77,77,hakan aydin,hakan aydin taught george mason university since 2001 research interests include real time embedded systems low power computing fault tolerance recipient national science foundation career award 2006 served program committee various conferences also technical program committee chair ieee rtas 2011 general chair ieee rtas 2012 conferences received department computer science teaching award 2006 2009,,,,,CEC Website,CEC Website hakan aydin
78,78,hamza mughal,hamza research interests computer science education computer systems field computing growing diversifying every year vital understand teach computing diverse audiences taught effectively thus hamza hopes find new engaging ways teach computing hamza received bs ms computer science george mason university computer science faculty member currently teaching undergraduate courses systems programming,,,,,CEC Website,CEC Website hamza mughal
79,79,hans hoyer,hans j hoyer secretary general international federation engineering education societies ifees executive secretary global engineering deans council gedc resident scholar global engineering volgenau school engineering george mason university former director international programs strategy american society engineering education asee co founder indo us collaborative engineering education iucee,,,,,CEC Website,CEC Website hans hoyer
80,80,harry foxwell,harry j foxwell associate professor george mason university college engineering computing teaches graduate courses cloud computing data analytics previously worked oracle sun microsystems principal systems engineer supporting operating systems virtualization technologies co author several technical articles books including slicing dicing servers guide virtualization containment technologies sun blueprints online october 2005 sun blueprints guide solaris containers virtualization solaris operating system sun blueprints online october 2006 coauthored pro opensolaris apress 2009 oracle solaris 11 system administration complete reference oracle press 2012 oracle solaris 11 2 system administration handbook oracle press 2015 recently authored creating good data apress 2020 harry vietnam veteran served platoon sergeant u army 1st infantry division 1968 1969 awarded air medal bronze star,,,,,CEC Website,CEC Website harry foxwell
81,81,harry wechsler,harry wechsler director distributed intelligent computation center mason 1995 2010 academic career includes visiting professorships institut national de recherche en informatique et en automatique inria france kyoto university japan technion israel center automation research university maryland centre national de recherche scientifique cnrs france romanian academy sciences commonwealth science industry research organization csiro australia university genève switzerland russian academy science moscow chinese academy sciences beijing wechsler research field intelligent systems covers biometrics face recognition denial deception performance evaluation cyber security adversarial learning spam fraud phishing detection active authentication image analysis understanding computer vision contents based information retrieval video processing automatic target recognition machine learning data mining pattern recognition statistical learning neural networks novelty detection bioinformatics,,,,,CEC Website,CEC Website harry wechsler
82,82,hemant purohit,hemant purohit associate professor school computing interdisciplinary researcher interests intersection computing social sciences understand model online human behavior address social problems educational journey started bachelor degree communication computer engineering lnm institute information technology india 2009 pursued phd computer science engineering wright state university dayton ohio supervision professor amit sheth worked ohio center excellence knowledge enabled computing graduation 2015 digital technologies social media web internet things iot revolutionized information generation consumption generating massive unstructured data presents information overload challenge sensemaking organization purohit research interest lies mining relevant behaviors online data scale human ai collaboration intelligent ai systems augment human capabilities public service workplaces processing real time information decision support example creating real time systems filter data social media streams discover people seeking help disasters aid emergency services creates human centered computing methods extract analyze individual group behavioral knowledge e g intentional acts text multimedia data using natural language processing computer vision machine learning techniques founded mason humanitarian informatics lab conducts research variety domains design intelligent systems public services social good,,,,,CEC Website,CEC Website hemant purohit
83,83,henry coffman,prior joining mason henry coffman professor lord fairfax community seventeen years also twenty three years experience department defense eight years interpol,,,,,CEC Website,CEC Website henry coffman
84,84,holger dannenberg,holger dannenberg studies molecular biomedicine program university bonn bonn germany taught scientific basis medicine provided understanding disease mechanisms student interest neuroscience immunology led pursue diploma thesis studying microglia role alzheimer disease dannenberg continued inquiry phd thesis experimental epileptology cognition research bonn germany studying neuronal ensembles neural engrams modulation acetylcholine vivo finishing phd thesis joined laboratory michael e hasselmo boston massachusetts continued experimental computational work cholinergic role memory 2021 dannenberg joined department bioengineering interdisciplinary program neuroscience assistant professor lab investigates mechanisms functions underlying formation memory memory guided navigation focus septohippocampal brain circuitry,,,,,CEC Website,CEC Website holger dannenberg
85,85,huzefa rangwala,huzefa rangwala member bioengineering initiative volgenau school engineering research interests include data mining inter disciplinary applications areas learning sciences bioinformatics bioengineering emphasizes development novel algorithms engineering effective solutions bioengineering problems rangwala research resulted development useful efficient software tools aid biologists make key discoveries genome analysis cyber physical sciences prosthetics tandem developments advanced field computer science,,,,,CEC Website,CEC Website huzefa rangwala
86,86,inchi hu,inchi hu professor statistics college engineering computing received phd statistics stanford university prior joining mason faculty hong kong university science technology hkust university pennsylvania university maryland research interests include sequential analysis stochastic control high dimensional data analysis causal inference among colleagues students known broad scientific interests passion excitement see statistics expanding role data science research papers appeared top journals statistics annals statistics biometrika journal american statistical association probability annuals probability engineering ieee trans automatic control ieee trans information theory operations management operations research mathematics operations research life science bioinformatics nucleic acids research selected honors awards include fellow institute mathematical statistics franklin prize teaching excellence 2006 2016 best ten lecturers elected hkust student association 2002 2004 2005 associate editor statistica sinica mason teaching stat 535 analysis experimental data well assisting graduate admissions data science economics initiatives helping research task force initiatives,,,,,CEC Website,CEC Website inchi hu
87,87,ioulia rytikova,ioulia rytikova professor associate chair graduate studies department information sciences technology mason college engineering computing received bs ms degree automated control systems engineering information processing phd automated control systems national university science technology 15 years career higher education us europe dr rytikova acquired significant work experience providing leadership areas innovative teaching learning instructional design distance education variety stem disciplines undergraduate graduate levels dr rytikova designed developed multiple interdisciplinary programs concentrations courses emerging areas data sciences big data analytics computer information technologies health information technologies statistical analysis dr rytikova founded personalized learning ait lab plait organized various workshops well published presented topics data sciences big data analytics cognitive learning sciences innovative teaching learning educational data mining optimization mathematical modeling decision support expert systems large industrial complexes exceptional efforts classroom contributions educational process dr rytikova received recognition outstanding students colleagues universities industry partners dr rytikova recipient several prestigious teaching awards including 2021 online teaching excellence award 2020 mason teachers distinction award school engineering outstanding teaching award research interests data science big data analytics cognitive learning sciences educational data mining personalized learning stem education health information technologies operations research engineering grants 2018 2019 department defense cyber scholarship program 2017 2018 department defense cyber scholarship program 2016 2018 gmu oscar scholarly development grant integrating research experiences undergraduate curriculum,,,,,CEC Website,CEC Website ioulia rytikova
88,88,irina hashmi,irina hashmi work bridges space biological science computer science applies machine learning data mining evolutionary computation stochastic optimization techniques solve complex biological problems keen interest working protein protein interactions modeling complex protein structures human genome sequences joining mason hashmi worked computational biology branch national institutes health visiting fellow completed phd ms department computer science george mason university supervision professor amarda shehu addition research hashmi enjoys teaching designing new course problem solving 106 using python,,,,,CEC Website,CEC Website irina hashmi
89,89,isuru dassanayake,isuru dassanayake assistant professor statistics received phd mathematics majoring statistics master science statistics texas tech university research interests include machine learning statistics computing heteroscedastic mixed effects models spatial data analysis bayesian statistics high dimensional data analysis dissertation mainly focused exploring social economic predictors us government elections using advanced statistical modeling machine learning techniques including neural networks data visualization tools ggplot tableau plotly etc investigate capacity maintain stability united states government election prior joining george mason university worked graduate part time instructor texas tech university lecturer university peradeniya sri lanka teaches probability statistics engineering scientists 1 stat344 applied statistics visualization analytics stat515 research interests machine learning statistics computing heteroscedastic mixed effects models spatial data analysis bayesian statistics high dimensional data analysis,,,,,CEC Website,CEC Website isuru dassanayake
90,90,ivan avramovic,ivan avramovic member department computer science full time instructor since 2018 teaching programming theory courses also taught health informatics programming courses george mason university prior academia worked professionally programming simulation projects companies saic phd research focuses analysis randomized algorithms combinatorics information dissemination algorithms,,,,,CEC Website,CEC Website ivan avramovic
91,91,james baldo,james baldo engineering career provided broad foundation knowledge experience engineering systems responsible detecting identifying tracking predicting behavior objects based multiple sources data environment baldo works greatly affected big data resulted utilizing new technologies analytical methods baldo engineering team leadership skills instrumental interacting business owner needs expectation well managing galvanizing synergizing teams talented engineers baldo experience practicing engineer provided great appreciation educating engineers solid foundation mathematics science statistics engineering instructor baldo packages theory practice courses prepare students addressing real world problems,,,,,CEC Website,CEC Website james baldo
92,92,jan allbeck,jan allbeck associate dean honors college associate professor department computer science addition administrative duties advises applied computer science computer science majors honors college also teaches honors college courses related game design computer graphics special effects,,,,,CEC Website,CEC Website jan allbeck
93,93,janis terpenny,janis terpenny professor joint appointments department systems engineering operations research department mechanical engineering research focuses smart integrated systems processes design manufacturing design education previously served dean engineering university tennessee department head industrial manufacturing engineering penn state department chair industrial manufacturing systems engineering iowa state technology thrust lead digital manufacturing design innovation institute dmdii director nsf center e design program director nsf professor virginia tech university massachusetts industry work experience ge fellow member asme iise member aaas alpha pi mu asee sme tau beta pi area editor engineering economist editorial board member computers industry academic senior vp iise board trustees dr terpenny holds phd ms industrial systems engineering virginia tech bs applied mathematics virginia commonwealth university,,,,,CEC Website,CEC Website janis terpenny
95,95,jeff offutt,current research projects include testing critical system characteristics tocsyc pilot projects university skövde sweden model based testing analysis testing web applications test automation usable security technical board advisors certess inc leads ms software engineering program mason teaches software engineering courses levels developed new courses several software engineering subjects including web engineering software testing construction design usability experimentation analysis part research invented several new coverage criteria collaborating team colleagues criteria include base choice coverage prime path coverage active clause coverage coupling based testing bypass testing inheritance polymorphism coverage included analysis modeling techniques atomic section modeling finite state machine modeling web applications ping pong algorithm test suite reduction oo analysis techniques based yo yo graph textbook introduction software testing co authored paul ammann published cambridge university press january 2008 leading worldwide textbook software testing,,,,,CEC Website,CEC Website jeff offutt
96,96,jeffrey moran,jeffrey moran research interests lie understanding using micro scale thermal fluid transport phenomena enable new solutions fundamental challenges facing humanity including sustainable energy environmental remediation cancer treatment doctoral work helped explain physical mechanism self propulsion catalytic micromotors micrometer size metallic rods 50 times smaller width human hair swim carry cargo liquids rods one subclass active colloids microscopic self propelled particles show promise applications enhanced oil recovery manufacturing micro nanometer scale structures even targeted drug delivery human body moran received several awards including young researcher award international workshop micro nanomachines shapiro postdoctoral fellowship award mit graduate research fellowship national science foundation outside research committed science engineering education classroom given workshops local science museums lectured general technical levels university high school students throughout us internationally,,,,,CEC Website,CEC Website jeffrey moran
97,97,jens peter kaps,jens peter kaps joined mason received phd electrical computer engineering worcester polytechnic institute 2006 co director cryptographic engineering research group cerg volgenau school engineering research interests include ultra low power cryptographic hardware design side channel analysis computer arithmetic efficient cryptographic algorithms ubiquitous computing general co chair cryptographic hardware embedded systems conference ches 2008 general chair special purpose hardware attacking cryptographic systems sharcs workshop 2012 kaps member ieee computer society international association cryptologic research iacr,,,,,CEC Website,CEC Website jens peter kaps
98,98,jessica lin,jessica lin joined george mason university 2005 areas interest expertise temporal spatiotemporal multimedia stream data mining work focuses development efficient algorithms visualize discover non trivial patterns e g anomalies motifs contrasting patterns latent structure massive time series data work applied domains diverse medicine geoinformatics earth sciences astronomy manufacturing national security,,,,,CEC Website,CEC Website jessica lin
99,99,jianli pan,dr jianli pan currently tenured associate professor department information science technology college engineering computing george mason university earned phd computer engineering washington university dr pan research interests broadly cover internet things iot edge cloud computing machine learning cybersecurity blockchain mobile distributed systems also interested solving emerging important problems intersections areas,,,,,CEC Website,CEC Website jianli pan
100,100,jiayang sun,dr sun professor chair bernard dunn eminent scholar department statistics george mason university received phd statistics stanford joining mason august 2019 professor department population quantitative health sciences director center statistical research computing collaboration sr2c case western reserve university also served inaugurate asa acm ams ims maa siam science technology policy fellow working big data senior fellow big data analytics leadership team pdi usda ars office national programs 9 1 2019 8 31 2020 elected fellow american statistical association asa elected fellow institute mathematical statistics ims elected member international statistical institute isi 2016 president caucus women statistics cws various committees asa ims cws isi national international professional panels boards work supported awards nsf nih nsa dod doe va asa published top statistical computational journals including annals statistics journal american statistical association annals probability biometrika statistical science biometrical journal statistics medicine jcgs siam j sci stat comp statistical scientific journals statistical research included simultaneous confidence regions multiple testing selection bias measurement errors mixtures image analysis machine learning causal inference semiparametric nonparametric problems statistical computing graphics data analytics bioinformatics big data interdisciplinary work included cancer environmental science imaging neuroscience wound care dental medical sciences addition astronomy computer science energy law agriculture work supported awards nsf nih nsa dod doe va asa,,,,,CEC Website,CEC Website jiayang sun
101,101,jie xu,jie xu research focuses stochastic optimization using simulation implementation high performance cloud computing environment robust data driven decision making uncertainty quantification rare event simulation computational intelligence xu application areas interest include revenue management risk management power networks data centers cloud health care production planning prior joining george mason xu senior analyst finance operations research united airlines worked research development revenue management airline loyalty program market demand forecasting also worked summer intern ibm j watson research center risk management new product development portfolio investments supply chain optimization ibm china research lab,,,,,CEC Website,CEC Website jie xu
102,102,jim chen,jim chen taught george mason university since 1995 editor chief computing science engineering senior member institute electrical electronics engineers associate member association computing machinery authored four books edited two conference proceedings published 100 research papers acquired three patents research interests include computer graphics virtual reality visualization networking simulation,,,,,CEC Website,CEC Website jim chen
103,103,jinwei ye,jinwei ye research interests include computer vision computational imaging computer graphics degrees phd computer science university delaware 2014,,,,,CEC Website,CEC Website jinwei ye
104,104,john mclaughlin,john takes director senior capstone program department information sciences technology mason john retired ibm accomplished senior executive architect ibm federal security business unit advisor us federal government 25 years success information technology john leveraged extensive experience working diverse range stakeholders leading collaboration translating business requirements actionable technical strategies solutions top level john expert risk based approaches cyber security including critical infrastructure protection high risk program management national security challenges john received master science degree computer science university southern mississippi previously bachelor science degree electrical engineering george mason university held academic appointments texas tech university illinois,,,,,CEC Website,CEC Website john mclaughlin
105,105,john otten,john otten teaches computer ethics society college engineering computing addition instructing undergraduates important considerations surrounding legal social ethical issues surrounding software development computer use otten research interests include computer science education parallel distributed systems large scale integration embedded systems automotive networks computer applications music global system mobile cellular technology software optimization research interests computer science education parallel distributed systems vlsi embedded systems gsm cellular technology software optimization automotive networks computer applications music,,,,,CEC Website,CEC Website john otten
106,106,john shortle,john shortle applies deep mathematical creativity applied problems societal significance motivated understand randomness uncertainty impact behavior design system specific interests include simulation queueing analysis rare events applications air transportation aviation safety power systems telecommunications many current research projects funded faa nasa supporting goal making future air transportation system safer today active member center air transportation systems research mason since inception 2003 shortle leader simulation community recently served president informs simulation society served co proceedings editor winter simulation conference co author widely used textbook fundamentals queueing theory also served associate editor ieee transactions reliability journal probability statistical science prior joining mason worked telecommunications industry us west advanced technologies work daniel h wagner prize excellence operations research practice,,,,,CEC Website,CEC Website john shortle
107,107,john stufken,john stufken research interests design analysis experiments extracting information data small large interests also increasingly moved direction data science continuously published top professional journals grant support national science foundation enjoys teaching statistics data analytics students statistics students disciplines recognized research teaching excellence stufken research interests broad range applications theory best known work orthogonal arrays including book orthogonal arrays theory applications hedayat n j sloane crossover designs optimal design experiments subdata selection methods also co editor book handbook design analysis experiments dean morris bingham joining george mason university stufken served among others director informatics analytics bank america excellence professor unc greensboro 2019 2022 charles wexler endowed professor statistics arizona state university 2014 2019 head department statistics university georgia 2003 2014 program director statistics national science foundation 2000 2003 elected fellow american statistical association institute mathematical statistics elected member international statistical institute served 2011 rothschild distinguished visiting fellow isaac newton institute mathematical sciences cambridge uk,,,,,CEC Website,CEC Website john stufken
108,108,jonathan goldman,jonathan goldman involved since incarnation name written game program royal precision lgp 30 spring 1963 career worked also retail wholesale marketing developing implementing multiple marketing campaigns retail chains responsible management since 1987 implementing networking systems one first internet connections web sites non university hospital mid 90s 300 bed hospital goldman mason since 2001 director college engineering computing guided college operations explosive enrollment growth time also active support distance learning technologies mason cec goldman also active non areas mason taught univ 100 first year engineering students several years helped managing cec living learning communities also developed coordinated several presentations mason annual conference innovations teaching learning topics integration distance learning concepts traditional classes adaptations needed teaching millennial generation students,,,,,CEC Website,CEC Website jonathan goldman
109,109,jonathan l auerbach,jonathan auerbach research covers wide range topics intersection statistics public policy measured selection bias mortality studies andrew gelman traffic safety studies shaw hwa lo tian zheng assessed quality 2020 census paul biemer joseph salvo work also investigates urban myths eight million rats new york city traffic ticket quotas average building getting taller phyllis wan broad methodological interests analysis longitudinal data particularly data science causal inference policy interests include urban analytics open data collection evaluation communication official statistics auerbach served science policy fellow american statistical association also researcher center urban research city university new york analyst new york city legislature city council education phd statistics columbia university 2020ba economics cornell university 2010,,,,,CEC Website,CEC Website jonathan l auerbach
110,110,joy hughes,served vp information technology cio mason sixteen years interim president provost mason korea holding cio position received multiple excellence technology awards virginia governor office awards computerworld educause information week computer security information executives association march dimes etc published 100 presentations us europe asia various topics technology globalization libraries leadership women science organizational change development produced participated twenty television media programs 15 publications english chinese topics information technology libraries international partnerships service activities include multi year chairperson microsoft higher education advisory group co chair educause internet2 security task force serving chairperson cybersecurity working group southeastern universities research association served many years board technology goddesses group works girl scouts enhance technology interests skills since 1998 worked gmu non profit manages spectrum utilizes funds received enable revenue producing projects mason state level worked state virginia council technology services advisory group secretary technology gov advisory committee virginia legislature joint commission technology science virginia governor task force e communities,,,,,CEC Website,CEC Website joy hughes
111,111,juan cebral,engineering solutions deadly conditions according american heart association 1 5 5 general population develop cerebral aneurysm means 3 5 million people us cerebral aneurysms produce symptoms however people age experience lifestyle changes structure aneurysm stretch burst tear causing dangerous bleeding juan r cebral works diligently researching advances image based patient specific computational modeling cerebral blood flow order clinicians better diagnose address urgently life threatening conditions phd alumnus george mason university computational sciences informatics cebral embodies vision farther faster originally patagonia region argentina cebral collaborates medical clinicians fairfax inova hospitals hospitals institutions around world national institutes health american heart association whitaker foundation well industrial partners philips healthcare boston scientific funded research teaches graduate level courses fluid mechanics high performance computing foundations computational sciences,,,,,CEC Website,CEC Website juan cebral
112,112,kai zeng,kai zeng associate professor department electrical computer engineering college engineering computing also affiliated department computer science cyber security engineering prior coming mason faculty member department computer information science university michigan dearborn postdoctoral scholar computer science department university california davis ucd research interests include 5g wireless security cps iot security spectrum sharing machine learning physical layer security,,,,,CEC Website,CEC Website kai zeng
