,Doc_ID,Name,descriptions,titles,date,source,citations,Location,loc
10,10,andrew richardson,andrew drew richardson spent 20 years usaf operations analyst time led variety projects involving developing training scenarios enhance expert behavior novices af research labs afrl applying experimental design doe af operational test evaluation ot e advised student research efforts faculty us air force academy prior joining george mason drew senior consultant department defense worked research development future force structure us air force air force futures work incorporated model based systems engineering mbse modeling simulation analysis ms design evaluate conceptual systems prior investment air force degrees schools phd industrial engineering university central florida ms engineering wright state university bachelor industrial engineering georgia institute technology research interests decision analysis optimization operations research stochastic models statistical learning sports analytics modeling simulation,,,,,CEC Website,CEC Website andrew richardson
11,11,andrzej manitius,andrzej manitius joined george mason university september 1988 professor electrical computer engineering manitius research interests include mathematical aspects control theory including control distributed parameter delay systems optimal control optimization numerical computational methods dynamical systems control systems published 70 papers fields interest held various editorial positions several professional journals 1991 received american mathematical society citation public service related earlier work nsf prior coming mason manitius served program director applied mathematics deputy director division mathematical sciences national science foundation washington c served academic research appointments rensselaer polytechnic institute university montreal university minnesota,,,,,CEC Website,CEC Website andrzej manitius
12,12,angelos stavrou,angelos stavrou director center assurance research engineering care mason current research interests include security reliability distributed systems security principles virtualization anonymity focus building deploying large scale systems past years stavrou research focused two aspects security systems security reliability systems security research led work nist part darpa transformative applications effort secure android mobile devices kernel level attacks furthermore stavrou mason principal investigator participating along columbia stanford symantec personnel iarpa stonesoup effort stavrou research supported grants dhs nsf focused cybersecurity large scale systems whereas second effort seeks foster cross disciplinary education foundation development assessment cybersecurity leadership education programs stavrou team currently funded darpa active authentication mission resilient cloud projects projects add dhs nist funding research efforts security mobile iot devices,,,,,CEC Website,CEC Website angelos stavrou
14,14,ariela sofer,ariela sofer interested nonlinear programming optimization medical applications systems thinking sofer currently academic director international council systems engineering incose served secretary board trustees institute industrial systems engineers iise vice president sections societies institute operations research management science informs president association chairs operations research departments acord member editorial board sebok systems engineering body knowledge served associate editor journals operations research management science member editorial board mos siam book series optimization co author textbook linear nonlinear optimization published siam books 2008 earlier edition mcgraw hill 1996 elected fellow informs 2016 iise 2018,,,,,CEC Website,CEC Website ariela sofer
15,15,arthur art pyster,throughout career art pyster played leading technical management executive roles telecommunications aerospace defense air traffic control education computing business sectors pyster proudest professional accomplishments prior coming mason 1 standing operating systems engineering research center university affiliate research center largest impactful academic research program systems engineering nation 2 leading development operation systems engineering body knowledge sebok whose articles accessed 80 000 times monthly arguably widely read source systems engineering world 3 applying novel engineering processes digital sound corporation develop extremely low defect commercial telecommunications systems 4 federal aviation administration deputy chief information officer leading information security efforts software research program policy development serving faa investment review board oversaw 3 billion annually mason pyster professor systems engineering primary role associate dean research college engineering computing cec capacity pyster oversees cec research portfolio rapidly grown anticipated value 400m annual expenditures approaching 70m pyster continues oversee sebok sponsored international council systems engineering incose ieee systems council stevens institute technology incose fellow founders award recipient pioneer award recipient pyster authored 70 papers two books,,,,,CEC Website,CEC Website arthur art pyster
16,16,özlem uzuner,özlem uzuner specializes natural language processing machine learning data science applications real world problems passion improve automatic language understanding even narratives written ungrammatical fragmented short hand ambiguous utterances studies language electronic health records improving information access contributing better healthcare develops natural language processing methods understanding consumer written text electronic petitions describing citizen concerns social media improving public policy studies sentiment opinion analysis uncover hints deception fraud financial disclosure documents research interests fall broadly umbrellas health informatics public health informatics mental health informatics computational social science uzuner develops novel methods natural language understanding also develops releases data sets enable advancement state art natural language processing since 2006 developed numerous data sets collaboration harvard medical school brigham women hospital massachusetts institute technology veteran administration salt lake city university cincinnati university texas health sciences center houston others serves editorial boards several journals including journal biomedical informatics journal intelligent information systems guest edited several supplemental issues journal biomedical informatics author 70 peer reviewed publications work funded national institutes health national library medicine office national coordinator health information technology philips research na,,,,,CEC Website,CEC Website özlem uzuner
17,17,ben seiyon lee,ben lee research interests include 1 computational methods modeling high dimensional spatial spatio temporal data 2 statistical methods algorithms calibrating complex computer models 3 interdisciplinary research environmental sciences lee exciting project calibrating hydrological computer model flash floods inland flooding central pennsylvania research goals included finding global warming affects severity inland floods projections affect flood zones insurance designed hydrological computer model project future inland flooding hazards aid research studied data streamflow heights water levels selinsgrove pa temperature inputs high quality climate models analyzed data using sequential monte carlo calibrate hydrological models assessed future hazards risks based climate change scenarios teaches survival analysis stat668 alternative regression methods stat676 department involved many organizations student seminar co chair faculty advisor graduate student association liaison national institute statistical science niss,,,,,CEC Website,CEC Website ben seiyon lee
18,18,bernard schmidt,bernard schmidt instructor george mason university volgenau school engineering ms data analytics engineering program also assistant director ms data analytics engineering program joined mason vse faculty fall 2020 northern virginia community college served professor information technology well assistant dean information technology computer science nvcc manassas campus schmidt involved computing computing industry 35 years prior joining academia early career involved computer operations programming ibm mainframes led researching computer image processing algorithms multi sensor aided target recognition army night vision lab subsequently held progressive technology management positions variety organizations northern virginia including oracle complex systems cordant ibm orbcomm sprint battelle prison fellowship ministries addition teaching mentoring schmidt extensive experience project management complex projects ranging software development systems infrastructure engineering,,,,,CEC Website,CEC Website bernard schmidt
19,19,bernd peter paris,bernd peter paris currently director ms telecommunications program george mason university prior experience includes working public switching division siemens munich germany paris engaged research areas communication systems emphasis mobile wireless communication networks information theory,,,,,CEC Website,CEC Website bernd peter paris
20,20,bijan jabbari,bijan jabbari active academia industry recognized internationally contributions field wireless networks patents deployed 4g lte 5g wireless networks fellow ieee fellow iet recipient ieee third millennium medal washington dc metropolitan area engineer year award received gmu vse outstanding faculty research award past chairman ieee communications society technical committee communications switching routing founded innovative laboratories internet wireless communications conducting research funding provided national science foundation funding organizations dr jabbari coeditor several books area editor multiaccess ieee transactions communications international division editor journal communications networks jcn wireless communications editorial board proceedings ieee several journals technical advisor industry us france japan korea republic governments helped industry adoption multiprotocol label switching mpls service providers large corporations networks dr jabbari also affiliated faculty telecom paris tech france volunteer civic humanitarian activities dr jabbari co founded american heart association annual event heart delight premier annual wine tasting auction washington past 20 years brought 20 million research association,,,,,CEC Website,CEC Website bijan jabbari
